unique_sciname,unique_common_name
pinus edulis,pinyon pine
acer ginnala,amur maple
ulmus americana,american elm
quercus rubra,northern red oak
abies concolor,white fir
crataegus spp,NA
prunus cerasifera,flowering plum
prunus virginiana,chokecherry
koelreuteria paniculata,goldenrain tree
cercocarpus spp,mountain mahogany
acer grandidentatum,bigtooth maple
rhus spp,NA
pyrus calleryana,flowering pear
quercus macrocarpa,bur oak
quercus phellos,willow oak
tilia tomentosa,silver linden
acer negundo,boxelder
juniperus scopulorum,rocky mountain juniper
NA,cockspur thornless hawthorn
morus alba,white mulberry
quercus robur,english oak
quercus alba,white oak
malus sylvestris,flowering crabapple
juglans nigra,black walnut
platanus x acerifolia,northern catalpa
malus x spring snow,spring snow crabapple
populus alba,white poplar
acer tataricum,tatarian maple
pinus densiflora,japanese red umbraculifera pine
picea abies,norway spruce
picea glauca,white spruce
robinia pseudoacacia,black locust
fagus sylvatica,european beech
ulmus x hybrida,hybrid elm
rhus typhina,staghorn sumac
ulmus davidiana,accolade elm
celtis laevigata,sugarberry
gymnocladus dioicus,honeylocust
ulmus parvifolia,lacebark elm
celtis laevigata,netleaf reticulata hackberry
liriodendron tulipifera,tuliptree
pinus aristata,bristlecone pine
gymnocladus dioicus,kentucky espresso coffeetree
carpinus spp,NA
malus ioensis,prairie crabapple
pinus strobus,eastern white pine
acer negundo,sensation boxelder
fraxinus excelsior,european ash
ginkgo biloba,ginkgo
acer miyabei,miyabe state street maple
quercus imbricaria,shingle oak
acer saccharum,sugar green mountain maple
pinus contorta,lodgepole pine
thuja occidentalis,american arborvitae
pinus strobiformis,southwestern white pine
salix discolor,pussy willow
carpinus betulus,european upright fastigiata hornbeam
quercus robur,english columnar oak
ulmus glabra,wych elm
gleditsia triacanthos,thornless honeylocust
crataegus ambigua,russian hawthorn
maackia amurensis,amur maackia
populus nigra,lombardy poplar
styphnolobium japonicum,japanese pagoda tree
zelkova serrata,japanese zelkova
populus x acuminata,lanceleaf cottonwood
pyrus communis,common pear
picea pungens,blue globose spruce
picea abies,norway bird
salix fragilis,crack willow
picea pungens,blue fastigiata spruce
ulmus davidiana,prospector elm
platanus x acerifolia,london bloodgood planetree
acer saccharum,sugar legacy maple
quercus shumardii,shumard oak
crataegus phaenopyrum,washington hawthorn
corylus colurna,turkish filbert
aesculus hippocastanum,common horsechestnut
pyrus calleryana,callery chanticleer pear
populus angustifolia,narrowleaf cottonwood
acer tataricum,tatarian hot wings maple
prunus americana,american plum
pinus flexilis,limber pine
ulmus americana,american valley forge elm
ulmus americana,american augustine elm
sorbus spp,NA
salix amygdaloides,peachleaf willow
pyrus calleryana,callery autumn blaze pear
acer pseudoplatanus,sycamore maple
betula occidentalis,water birch
cercis canadensis,eastern covey redbud
pinus thunbergii,japanese black pine
ulmus glabra,wych camperdown elm
quercus coccinea,scarlet oak
catalpa spp,NA
taxodium distichum,baldcypress
quercus lyrata,overcup oak
quercus muehlenbergii,chinkapin oak
salix babylonica,weeping willow
juniperus virginiana,eastern redcedar
ulmus davidiana,david choice city elm
acer glabrum,rocky mountain maple
pinus heldreichii,bosnian pine
prunus serrulata,kwanzan cherry
sequoiadendron giganteum,giant sequoia
crataegus mollis,downy hawthorn
salix nigra,black willow
catalpa bignonioides,southern catalpa
morus rubra,red mulberry
rhamnus cathartica,european buckthorn
picea engelmannii,engelmann spruce
aesculus flava,yellow buckeye
aesculus x carnea,red horsechestnut
malus x royal raindrops,royal raindrops crabapple
platanus occidentalis,american sycamore
prunus virginiana,canada red chokecherry
larix decidua,european larch
quercus montana,chestnut oak
prunus serotina,black cherry
cladrastis kentukea,yellowwood
acer campestre,hedge maple
pinus strobiformis,eastern white pine
calocedrus decurrens,incense cedar
magnolia x soulangeana,saucer magnolia
malus pumila,wild apple
liquidambar styraciflua,sweetgum
acer campestre,hedge queen elizabeth maple
prunus armeniaca,apricot
acer saccharum,sugar fall fiesta maple
caragana arborescens,siberian pendula peashrub
acer saccharum,sugar flashfire maple
abies lasiocarpa,subalpine fir
morus spp,NA
acer x freemanii,freeman autumn blaze maple
acer saccharum,sugar wright brothers maple
carpinus caroliniana,american hornbeam
malus tschonoskii,chonosuki crabapple
acer saccharum,sugar caddo maple
ulmus davidiana,david elm
rhamnus spp,NA
gleditsia triacanthos,thornless shademaster honeylocust
crataegus laevigata,smooth hawthorn
prunus persica,peach
malus x prairifire,prairifire crabapple
alnus rubra,red alder
fraxinus nigra,black ash
cotinus coggygria,european smoketree
gymnocladus dioicus,kentucky decaf coffeetree
euonymus spp,NA
cornus mas,cornelian cherry dogwood
ulmus davidiana,emerald sunshine elm
malus transitoria,golden raindrops crabapple
platycladus orientalis,oriental arborvitae
ptelea trifoliata,common hoptree
prunus sargentii,sargent cherry
celtis spp,NA
juniperus monosperma,one seed juniper
fraxinus quadrangulata,blue ash
chamaecyparis spp,NA
betula nigra,river birch
fagus sylvatica,european weeping beech
acer griseum,paperbark maple
betula papyrifera,paper birch
morus alba,white pendula mulberry
acer saccharum,black maple
amelanchier x grandiflora,robin hill serviceberry
prunus avium,sweet cherry
magnolia liliflora,ann magnolia
taxus baccata,yew
acer saccharum,sugar john pair maple
not applicable,green ash
acer negundo,variegated boxelder
malus x radiant,radiant crabapple
laburnum x watereri,golden chain tree
acer palmatum,japanese maple
ostrya viginiana,american hophornbeam
syringa pekinensis,peking tree lilac
picea pungens,blue baker
aesculus x carnea,ruby red horsechestnut
prunus pumila,sand cherry
carpinus betulus,european emerald avenue hornbeam
syringa spp,NA
aesculus x arnoldiana,ohio autumn splendor buckeye
acer platanoides,norway crimson king maple
magnolia stellata,star magnolia
acer rubrum,swamp white oak
fraxinus pennsylvanica,bur oak
fraxinus mandshurica,manchurian ash
salix matsudana,corkscrew willow
cornus florida,flowering dogwood
tilia americana,american redmond linden
acer tataricum,goldenrain tree
acer tataricum,tatarian pattern perfect maple
eucommia ulmoides,hardy rubber tree
alnus spp,NA
picea glauca,white dwarf alberta spruce
prunus domestica,european plum
picea pungens,blue weeping spruce
gleditsia triacanthos,thornless skyline honeylocust
abies spp,NA
crataegus monogyna,oneseed hawthorn
prosopis spp,NA
populus tremula,swedish columnar aspen
fraxinus excelsior,european hessei ash
quercus acutissima,sawtooth oak
acer ginnala,amur flame maple
juniperus chinensis,chinese juniper
malus x perfect purple,perfect purple crabapple
cercis canadensis,eastern summer
ulmus morton glossy,triumph elm
gleditsia triacanthos,thornless imperial honeylocust
ulmus x hybrida,hybrid frontier elm
tilia americana,american sentry linden
ulmus parvifolia,lacebark allee elm
platanus x acerifolia,london exclamation planetree
acer campestre,japanese zelkova
styphnolobium japonicum,japanese regent pagoda tree
tilia tomentosa,silver sterling linden
prunus nigra,canada princess kay plum
gleditsia triacanthos,thornless sunburst honeylocust
tilia cordata,littleleaf corinthian linden
acer platanoides,norway cavalier maple
acer rubrum,red northwood maple
populus fremontii,fremont cottonwood
acer grandidentatum,bigtooth highland park maple
fagus grandifolia,american beech
castanea dentata,american chestnut
malus x louisa,louisa crabapple
carya laciniosa,shellbark hickory
magnolia acuminata,cucumbertree magnolia
pinus bungeana,lacebark pine
prunus avium,sweet queen ann cherry
fagus sylvatica,european purple beech
catalpa bignonioides,umbrella nana catalpa
ulmus procera,english elm
carya ovata,shagbark hickory
acer platanoides,norway schwedler maple
quercus undulata,wavyleaf oak
carya illinoinensis,pecan
pinus contorta,lodgepole taylor
picea omorika,serbian spruce
picea abies,norway weeping spruce
viburnum spp,NA
juniperus chinensis,chinese spartan juniper
pistacia chinensis,chinese pistache
betula pendula,european white birch
pinus monticola,western white pine
thuja plicata,western green giant redcedar
acer platanoides,norway crimson sentry maple
pyrus ussuriensis,ussurian pear
salix alba,white willow
hesperocyparis arizonica,arizona cypress
cladrastis kentukea,american yellowwood
liquidambar styraciflua,happidaze sweetgum
gymnocladus dioicus,kentucky stately manor coffeetree
prunus cerasifera,flowering newport plum
acer platanoides,norway emerald queen maple
quercus bicolor,spring snow crabapple
cercidiphyllum japonicum,katsura tree
quercus macrocarpa,bur urban pinnacle oak
alnus incana,grey alder
quercus x mazei,colorado foothills oak
fraxinus velutina,velvet modesto ash
robinia neomexicana,new mexico locust
quercus ellipsoidalis,northern pin oak
malus x adams,adams crabapple
pyrus calleryana,callery redspire pear
acer platanoides,norway emerald lustre maple
picea pungens,blue hoops
carpinus betulus,european weeping hornbeam
crataegus viridis,green winter king hawthorn
prunus maackii,manchurian cherry
tilia cordata,littleleaf greenspire linden
prunus cerasus,sour north star cherry
cedrus libani,lebanon cedar
quercus buckleyi,texas red oak
not applicable,thornless honeylocust
pinus sylvestris,scotch glauca pine
prunus cerasus,montmorency cherry
tsuga canadensis,eastern hemlock
ostrya viginiana,sensation boxelder
acer tataricum,american hophornbeam
quercus macrocarpa,bur cobblestone oak
NA,standing butt
NA,deborah schwedler maple
NA,species cherry
NA,stump obstructed
NA,ailanthus
NA,bloodgood london planetree
NA,japanese pagodatree 
NA,greenspire linden
NA,sycamore 
NA,species oak
NA,christine buisman elm
NA,serviceberry species
NA,ft mcnair horsechestnut
NA,species pear
NA,autumn cherry
NA,pioneer hybrid elm
NA,species mountainash
NA,species elm
NA,species hawthorn
NA,slippery 
NA,laevis serviceberry
NA,espresso kentucky coffee tree
NA,schubert cherry
NA,species spruce
NA,frontier hybrid elm
NA,yellowood
NA,princess diana serviceberry
NA,oakleaf mountainash
NA,arnold pink silverbell
NA,species dogwood
NA,prariefire crabapple
NA,purple leaf beech
NA,harvest gold crabapple
NA,skyrocket english oak
NA,canada red cherry
NA,cleveland pride pear
NA,olmsted maple
NA,dananda charm elm
NA,bauman horsechestnut
NA,american 
NA,species willow
NA,ruby red slippers maple
NA,species magnolia
NA,emerald queen maple
NA,species linden
NA,species maple
NA,cortland apple
NA,persimmion
NA,purple prince crabapple
NA,chinese privet
NA,red baron crabapple
NA,species birch
NA,constellation dogwood
NA,orient pear
NA,species hickory
NA,commendation elm
NA,sumac species
NA,vesuvius plum
NA,species pine
NA,sring flurry serviceberry
NA,butternut hickory
NA,species poplar
NA,bing cherry
NA,pink spire crabapple
NA,white fringetree
NA,species euonymus
NA,celestial dogwood
NA,sugar tyme crabapple
NA,coliseum maple
NA,asian white birch
NA,red splendor crabapple
NA,pink flair cherry
NA,wireless zelkova
NA,burbank plum
NA,cumulus serviceberry
NA,formosan sweetgum
NA,weeping arborvitae
NA,japanese white pine
NA,common witchhazel
NA,smoothleaf elm
NA,japanese false cypress
NA,species beech
NA,species chamyaecyparis
NA,wafer ash
NA,table top pine
NA,european euonymus
NA,himalayan birch
ulmus americana,brandon elm
prunus padus,mayday
malus baccata,dolgo crabapple
acer tataricum,hot wings maple
picea pungens,colorado blue spruce
betula pendula,weeping birch
malus,makamik crabapple
populus jackii,northwest poplar
ulmus americana,patmore elm
fraxinus pennsylvanica,prairie spire ash
prunus virginiana,schubert chokecherry
caragana arborescens,sutherland caragana
cotoneaster,cotoneaster species
syringa,lilac species
lonicera,species honeysuckle
malus,crabapple species
cornus,dogwood species
picea pungens,colorado spruce
populus,poplar species
spiraea,spirea species
cotoneaster lucidus,hedge cotoneaster
pinus,pine species
pinus sylvestris,scots pine
acer negundo,manitoba maple
elaeagnus angustifolia,russian olive
malus adstringens,thunderchild crabapple
populus tristis,tristis poplar
crataegus,hawthorn species
populus x,byland green poplar
populus tremuloides,quaking/trembling aspen
fraxinus pennsylvancia,"green, foothills ash"
tilia flavescens,dropmore linden
larix sibirica,siberian larch
malus,pink spires crabapple
pinus ponderosa,yellow / ponderosa pine
malus,rosthern crabapple
populus tremuloides,trembling multistem aspen
malus adstringens,gladiator crabapple
malus,spring snow crabapple
juniperus,juniper species
populus x,ac sundancer poplar
populus balsamifera,balsam paskapoo poplar
malus,jade bouquet crabapple
populus salicaceae,NA
acer negundo,red sensation maple
fraxinus americana,tuxedo white ash
crataegus mordenensis,snowbrid hawthorn
rhamnus cathartica,common buckthorn
prunus pennsylvanica,mary liss pincherry
crataegus mordenensis,toba hawthorn
prunus maackii,amur cherry
fraxinus nigra,northern gem ash
pyrus,pear species
tilia cordata,green spire linden
populus tremuloides,advance upright aspen
pinus mugo,mugo uncinata pine
potentilla,potentilla species
celtis occidentalis,hackberry
fraxinus pennsylvancia,"green, patmore ash"
prunus triloba,flowering plum
prunus nigra,princess kay plum
populus x,okanese poplar
malus,selkirk crabapple
fraxinus americana,northern white ash
populus balsamifera,balsam poplar
malus baccata,rudolph crabapple
fraxinus americana,calypso white ash
populus canescens,tower poplar
prunus,cherry species
sorbus x,NA
malus,starlight crabapple
salix,willow species
gleditsia triacanthos,honey locust
larix laricina,american tamarack larch
populus sargentii,sargents cottonwood poplar
caragana arborescens,common caragana
prunus cistena,purple leaf sandcherry
betula pendula,european birch
betula pendula,cutleaf weeping birch
ribes alpinum,alpine currant
populus hybrida prairie skyrise,prairie skyrise aspen
sambucus,elder species
prunus cerasus,evans cherry
pyrus ussuriensis,golden pear
malus adstringens,royalty crabapple
malus,big river flowering crabapple
rosa,rose species
malus adstringens,strathmore crabapple
populus x,lance leaf cottonwood
populus x,assiniboine poplar
malus baccata,siberian col crabapple
acer negundo,baron maple
acer saccharum,fall fiesta sugar maple
acer rubrum,scarlet jewel red maple
malus,battlford crabapple
quercus ellipsoidalis,majestic skies northern pin oak
prunus virginiana,common chokecherry
picea pungens,baker
picea,spruce species
elaeagnus commutata,wolf willow
pinus uncinata,mountain pine
juniperus sabina,blue danube juniper
tilia cordata,little leaf linden
betula platyphylla jefpark,parkland pillar birch
betula fontinalis,water birch
juniperus communis,common juniper
juglans cinerea,butternut
acer,maple species
betula papyrifera,paper clump birch
prunus salicina,brookgold plum
pyrus calleryana,cleaveland select pear
prunus salicina,brookred plum
malus,collett apple
malus,flowering courageous crabapple
betula platyphylla,dakota pinnacle birch
picea pungens,columnar colorado spruce
pyrus,navigator pear
pinus sylvestris,columnar scotch pine
malus,fall red apple
pyrus usseriensis,early gold pear
betula pendula,clump cutleaf weeping 
fraxinus americana,nobility white ash
pinus mugo,mugo rostrada pine
malus baccata,siberian crabapple
malus,kelsey crabapple
malus,flowering radiant crabapple
malus,parkland apple
syringa reticulata,signature lilac
populus deltoides / balsamifera ,memorial poplar
malus,purple spire crabapple
malus,norland apple
prunus maackii,ming cherry
picea pungens,hoopsii spruce
prunus maackii,amur 
alnus hirsuta,manchurian alder
malus,emerald spire crabapple
populus alba,silver poplar
malus,goodland apple
prunus nigrella,muckle plum
quercus jackiana,admiration hybrid oak
malus,honey crisp apple
celtis occidentalis,prairie sentinel hackberry
malus,hardi mac apple
populus petrowskyana,russian poplar
quercus bimundorum,prairie stature oak
malus,hopa crabapple
prunus domestica,mount royal 
populus x,prairie sky poplar
acer tataricum,pattern perfect maple
malus,rescue apple
betula papyrifera,prairie dream birch
acer platanoides,prairie splendor maple
betula pendula,royal frost birch
malus,prairie sensation apple
betula papyrifera,renaissance reflection birch
ginkgo biloba,princeton sentry ginkgo tree
populus grandidentata,saber aspen
prunus tomentosa,nanking cherry
salix alba,golden willow
malus,snowcap crabapple
prunus virginiana,western chokecherry
prunus padus,skinners red mayday
pyrus usseriensis,ure pear
ribes,gooseberry & currant
malus,september ruby apple
thuja occidentalis,cedar 
betula,birch species
juniperus scopulorum,rockey mountain juniper
populus deltoides,cottonwood poplar
viburnum,viburnum species
juniperus horizontalis,creeping juniper
berberis,barberry species
caragana pygmaea,pygmy caragana
salix purpurea,purple willow
pseudotsuga menziesii,douglas fir
hippophae rhamnoides,seabuckthorn
sorbaria sorbifolia,false spirea
malus pumila,apple
forsythia,forsythia species
amelanchier alnifolia,saskatoon
prunus nigra,canada plum
prunus pennsylvanica,pin cherry
rubus,raspberry
aesculus hippocastanum,horsechestnut
hydrangea arborescens,arborescens hydrangea
pinus banksiana,jack pine
abies,fir species
philadelphus lewissii,mock orange
viburnum trilobum,highbush cranberry
cornus sericea,yellow twig or red osier dogwood
alnus glutinosa,european alder
hydrangea paniculata grandiflora,pg hydrangea
shepherdia argentea,silver buffaloberry
crataegus succulenta,fleshy hawthorn
malus adstringens,rosyblooms crabapple
symphoricarpus mexicanus,mexican snowberry
lonicera tatarica,red honeysuckle
pinus cembra,swiss stone pine
rhus glabra,smooth sumac
picea englemannii,engleman spruce
physocarpus opulifolius,common ninebark
euonymus alatus,burning bush
physocarpus,ninebark species
pinus virginiana,virginia pine
taxus,yew
alnus,alder species
prinsepia sinensis,cherry prinsepia
abies balsamea,balsam fir
prunus tenella,russian almond
ribes aureum,golden currant
betula occidentalis,clump water birch
juniperus sabina,savin juniper
tilia mongolica harvest gold,harvest gold linden
quercus rubra,red oak
shepherdia canadensis,russet buffaloberry
picea mariana,black spruce
prunus besseyi,western sandcherry
cornus alternifolia,alternate leaf dogwood
prunus cerasifera,cherry plum
lonicera caerulea,haskcap
symphoricarpus alba,common snowberry
acer spicatum,mountain maple
parthenocissus quinquefolia,virginia creeper
quercus gambeii,rocky mountain oak
NA,gooseberry
pinus resinosa,red pine
prunus sp,plum sp
fraxinus sp,ash sp
thuja occidentalis,eastern white cedar
magnolia sp,magnolia sp
pyrus calleryana,callery pear
syringa reticulata,ivory silk lilac
acer nigrum,black maple
malus sp,apple sp
amelanchier sp,serviceberry sp
tilia americana,basswood
salix sp,willow sp
juniperus sp,juniper sp
morus sp,mulberry sp
pyrus sp,pear sp
catalpa speciosa,northern catalpa
sorbus sp,mountain ash sp
picea sp,spruce sp
betula sp,birch sp
abies sp,fir sp
rhamnus sp,buckthorn sp
juniperus virginiana,eastern red cedar
sorbus hybrida,oakleaf mountain ash
ulmus sp,elm sp
liriodendron tulipifera,tulip tree
platanus x acerifolia,london plane tree
betula populifolia,gray birch
crataegus sp,hawthorn spp
prunus x cistena,purpleleaf sand cherry
populus sp,cottonwood sp
pinus sp,pine sp
phellodendron amurense,amur corktree
tilia x vulgaris,common linden
quercus sp,oak sp
acer sp,maple sp
juglans sp,walnut sp
syringa vulgaris,common lilac
larix laricina,tamarack
taxus sp,yew sp
populus x canadensis,carolina poplar
chamaecyparis sp,false cypress sp
ostrya virginiana,eastern hophornbeam
ailanthus altissima,tree of heaven
heptacodium miconioides,seven son flower
quercus robur fastigiata,english oak 
metasequoia glyptostroboides,dawn redwood
aesculus sp,buckeye sp
sorbus americana,american mountain ash
magnolia acuminata,cucumber tree
carya sp,hickory sp
pinus mugo,mountain pine
caragana arborescens,siberian pea tree
cornus sp,dogwood sp
quercus velutina,black oak
euonymus sp,euonymus sp
cotinus obovatus,american smoketree
prunus serrulata,japanese cherry
prunus virginiana shubert,shubert chokecherry
pyrus calleryana chanticleer,callery pear 
"tilia cordata """"glenleven""""",glenleven linden
acer freemanii,red maple 
quercus muehlenbergii,chinquapin oak
prunus pensylvanica,pin cherry
platanus sp,sycamore sp
carpinus betulus,european hornbeam
pyrus calleryana ,callery pear 
populus grandidentata,largetooth aspen
prunus virginiana ,shubert chokecherry
betula alleghaniensis,yellow birch
carya cordiformis,bitternut hickory
acer negundo,norway maple 
zelkova sp,zelkova sp
corylus colurna,turkish hazelnut
acer platanoides columnare,norway maple 
pseudotsuga menziesii,douglas fir sp
juglans regia,english walnut
tilia cordata glenleven,glenleven linden
ginkgo biloba fastigiata,ginkgo biloba 
amelanchier arborea,downy serviceberry
acer tataricum,tatar maple
"tilia cordata """"corzam""""",NA
acer freemanii jeffersred tm,NA
acer fremanii jeffersred tm,NA
celtis accidentalis,NA
quercus sp,red oak
ostrya virginiana,american hophornbeam
pyrus sp,norway maple 
glenditsia traicanthos,NA
robinia pseudoacacia,locust sp
cladrastris kentukea,american yellowwood
nyssa sylvatica,black gum
larix larcina,american larch
thuja occidentalis ,emerald cedar
liquidambar stryaciflua,sweetgum
lagerstroemia indica ,crepe myrtle
crataegus viridis ,winter king hawthorn
platanus acerifolia ,london planetree
lagerstroemia indica,crepe myrtle
ulmus americana ,american elm 
acer saccharum ,sugar maple
liquidambar stryaciflua ,sweetgum
prunus okame,okame cherry
syringa reticulata,ivory silk tree
cercis canadensis ,oklahoma redbud
tilia cordata ,littleleaf linden
styrax japonicus ,japanese snowbell
liriodendron tulipifera,yellow poplar
lagerstroemia indica,crapemyrtle
amelanchier spp.,shadbush
prunus spp.,cherry
ilex ambigua,carolina holly
pinus strobus,white pine
plantanus occidentalis,sycamore
malus spp.,crabapple
halesia carolina,carolina silverbell
crataegus spp.,hawthorn species
quercus shumardi,shumard oak
liriodendron tulipifera,tulip poplar
tilia americana,american basswood
prunus domestica,plum
quercus laurifolia,laurel oak
amelanchier grandiflora,serviceberry
prunus kwansan,kwansan cherry
gymnocladus dioicus,kentucky coffee tree
nyssa sylvatica,black tupelo
quercus falcata,southern red oak
quercus stellata,post oak
cupressocyparis leylandii,leyland cypress
pinus virginana,virginia pine
zelkova serrata,zelkova
cornus kousa,kousa dogwood
pyrus calleryana,bradford pear
platanus acerifolia,london planetree
thuja occidentalis,northern white cedar
quercus prinus,chestnut oak
pinus taeda,loblolly pine
ilex spp.,holly species
pinus rigida,pitch pine
metasequia glyptostroboides,dawn redwood
ilex opaca,american holly
pinus echinata,shortleaf pine
carpinus caroliniana,ironwood
ostrya virginiana,hophornbeam
sassafras albidum,sassafras
cryptomeria japonica,japanese cryptomeria
prunus nigra,canadian plum
carya glabra,pignut hickory
prunus x okame,okame cherry
prunus x incamp,okame cherry
picea spp.,spruce species
albizia julibrissin,mimosa
acer truncatum,pacific sunset maple
picea brewerana,brewer spruce
prunus cerasifera,purple leaf plum
cornus nuttallii,pacific dogwood
ulmus parvifolia,chinese elm
magnolia grandiflora,southern magnolia
sophora japonica,japanese pagoda tree
carya tomentosa,mockernut hickory
chamaecyparis lawsoniana,lawson cypress
prunus serrulata var ,kwanzan cherry
ulmus spp.,elm species
broussonetia papyrifera,paper mulberry
tsuga caroliniana,carolina hemlock
malus glabrata,baltimore crabapple
"ilex x """"nellie r stevens""""",nellie stevens holly
acer pensylvanicum,striped maple
crataegus viridis,winter king hawthorn
ilex x attenuata,fosters holly
salix caroliniana,coastal plain willow
chamaecyparis thyoides,atlantic white cedar
vitex agnus castus,chastetree
diospyros virginiana,persimmon
chamaecyparis nootkatensis,nootka cypress
pinus glabra,spruce pine
prunus subhirtella,weeping cherry
magnolia x soulangiana,saucer magnolia
quercus virginiana,live oak
cedrus deodara,deodar cedar
cercis canadensis,oklahoma redbud
sorbus alnifolia,korean mountain ash
ilex fosteri,foster holly
magnolia virginiana,sweetbay magnolia
picea rubens,red spruce
pinus pungens,table mountain pine
olea europaea,olive
salix x chrysocoma,weeping willow
ulmus davidiana,japanese elm
diospyros virginiana,common persimmon
amelanchier canadensis,serviceberry
cornus alternifolia,pagoda dogwood
platanus occidentalis,sycamore
viburnum nudum,possumhaw viburnum
cornus florida ,flowering dogwood
amelanchier canadensis ,serviceberry
taxodium distichum,bald cypress
quercus nuttallii,nuttall oak
hamamelis virginiana,witch hazel
ulmus americana ,princeton elm
crataegus viridis  ,winter king hawthorn
cercis canadensis ,forest pansy redbud
viburnum prunifolium,blackhaw viburnum
magnolia virginiana,sweet bay magnolia
virburnum nudum,possumhaw viburnum
acer rubrum ,red maple
betula nigra ,river birch
prunus kanzan,kwanzan cherry
ilex x attenuata ,foster holly
oxydendrum arboreum,sourwood
amelanchier grandiflora ,serviceberry
robinia pseudoacacia ,black locust
tilia tomentosa ,silver linden
pyrus calleryana,cleveland select pear
chionanthus retusus,chinese fringetree
carya illinoinensis,pecan hickory
quercus marcocarpa,bur oak
ulmus ,homestead elm
magnolia ,butterfly magnolia
gleditsia triacanthos,thornless honey locust
ulmus parvifolia ,allee elm
cercis canadensis ,heart of gold redbud
acer truncatum ,norwegian sunset maple
thuja plicata,arborvitae green giant
cercis canadensis ,white redbud
cerics canadensis ,heart of gold redbud
ilex opaca ,greenleaf holly
acer freemanii ,armstrong maple
viburnum dentatum,southern arrowwood viburnum
acer buergerianum,trident maple
pruus kanzan,kwanzan cherry
viburnum rhytidophyllum,leatherleaf viburnum
thuja plicata,arbotvitae green giant
syrigna reticulata,ivory silk tree
carya glabra,shagbark hickory
diospryos virginiana,persimmon
gymnocladus diocus,kentucky coffee tree
cercis canadensis,redbud
gynocladus dioicus,kentucky coffee tree
quercua alba,white oak
carprinus caroliniana,hornbeam
platanus acerfolia,london planetree
cladrastis kentukea,kentucky yellowwood
ostyra virginiana,hophornbeam
amelanchier grandifolia,serviceberry
magnolia soulangeana,saucer magnolia
ulmus americana ,jefferson elm
stewartia ovata,mountain stewartia
carya illnoinensis,pecan
malus ,crabapple
ulmus parvifolia,chinese elm tree
ginkgo biloba,maidenhair tree
quercus suber,cork oak
fraxinus velutina ,modesto ash
pyrus calleryana ,aristocrat flowering pear
pyrus kawakamii,evergreen flowering pear
lagerstroemia ,tuscarora crape myrtle
acer rubrum,red maple 
liquidambar styraciflua,american sweet gum
cinnamomum camphora,camphor tree
schinus molle,california pepper tree
prunus dulcis,almond
quercus agrifolia,coast live oak
fraxinus angustifolia oxycarpa,raywood ash
fraxinus americana,autumn purple ash
quercus species,oak species
tristaniopsis laurina,water gum tree
acacia species,acacia species
lagerstroemia ,muskogee crape myrtle
jacaranda mimosifolia,jacaranda
quercus texana,texas red oak; nuttall oak
platanus x hispanica ,london plane 
quercus ilex,holly oak
fraxinus uhdei,shamel ash
arbutus ,marina arbutus
sequoia sempervirens,coast redwood
prunus persica,peach tree
morus alba,fruitless mulberry tree
quercus lobata,valley oak
pyrus calleryana ,bradford flowering pear
citrus sinensis,various citrus trees
quercus frainetto ,forest green oak
phoenix canariensis,canary island date palm
eriobotrya deflexa,bronze loquat
quercus frainetto,forest green oak
koelreuteria bipinnata,chinese flame tree
maytenus boaria,mayten tree
juglans,walnut
malus domestica,edible apple species
quercus buckeyi,texas red oak
melaleuca bracteata,black tea tree
