unique_sciname,unique_common_name,genus_name,species_name
malus sylvestris,flowering crabapple,malus,sylvestris
juglans nigra,black walnut,juglans,nigra
platanus x acerifolia,northern catalpa,platanus,acerifolia
malus x spring snow,spring snow crabapple,malus,spring
populus alba,white poplar,populus,alba
acer tataricum,tatarian maple,acer,tataricum
pinus densiflora,japanese red umbraculifera pine,pinus,densiflora
picea abies,norway spruce,picea,abies
picea glauca,white spruce,picea,glauca
robinia pseudoacacia,black locust,robinia,pseudoacacia
fagus sylvatica,european beech,fagus,sylvatica
ulmus x hybrida,hybrid elm,ulmus,hybrida
rhus typhina,staghorn sumac,rhus,typhina
ulmus davidiana,accolade elm,ulmus,davidiana
celtis laevigata,sugarberry,celtis,laevigata
gymnocladus dioicus,honeylocust,gymnocladus,dioicus
ulmus parvifolia,lacebark elm,ulmus,parvifolia
celtis laevigata,netleaf reticulata hackberry,celtis,laevigata
liriodendron tulipifera,tuliptree,liriodendron,tulipifera
pinus aristata,bristlecone pine,pinus,aristata
gymnocladus dioicus,kentucky espresso coffeetree,gymnocladus,dioicus
carpinus spp,,carpinus,spp
malus ioensis,prairie crabapple,malus,ioensis
pinus strobus,eastern white pine,pinus,strobus
acer negundo,sensation boxelder,acer,negundo
fraxinus excelsior,european ash,fraxinus,excelsior
ginkgo biloba,ginkgo,ginkgo,biloba
acer miyabei,miyabe state street maple,acer,miyabei
quercus imbricaria,shingle oak,quercus,imbricaria
acer saccharum,sugar green mountain maple,acer,saccharum
pinus contorta,lodgepole pine,pinus,contorta
thuja occidentalis,american arborvitae,thuja,occidentalis
pinus strobiformis,southwestern white pine,pinus,strobiformis
salix discolor,pussy willow,salix,discolor
carpinus betulus,european upright fastigiata hornbeam,carpinus,betulus
quercus robur,english columnar oak,quercus,robur
ulmus glabra,wych elm,ulmus,glabra
gleditsia triacanthos,thornless honeylocust,gleditsia,triacanthos
crataegus ambigua,russian hawthorn,crataegus,ambigua
maackia amurensis,amur maackia,maackia,amurensis
populus nigra,lombardy poplar,populus,nigra
styphnolobium japonicum,japanese pagoda tree,styphnolobium,japonicum
zelkova serrata,japanese zelkova,zelkova,serrata
populus x acuminata,lanceleaf cottonwood,populus,acuminata
pyrus communis,common pear,pyrus,communis
picea pungens,blue globose spruce,picea,pungens
picea abies,norway bird,picea,abies
salix fragilis,crack willow,salix,fragilis
picea pungens,blue fastigiata spruce,picea,pungens
ulmus davidiana,prospector elm,ulmus,davidiana
platanus x acerifolia,london bloodgood planetree,platanus,acerifolia
acer saccharum,sugar legacy maple,acer,saccharum
quercus shumardii,shumard oak,quercus,shumardii
crataegus phaenopyrum,washington hawthorn,crataegus,phaenopyrum
corylus colurna,turkish filbert,corylus,colurna
aesculus hippocastanum,common horsechestnut,aesculus,hippocastanum
pyrus calleryana,callery chanticleer pear,pyrus,calleryana
populus angustifolia,narrowleaf cottonwood,populus,angustifolia
acer tataricum,tatarian hot wings maple,acer,tataricum
prunus americana,american plum,prunus,americana
pinus flexilis,limber pine,pinus,flexilis
ulmus americana,american valley forge elm,ulmus,americana
ulmus americana,american augustine elm,ulmus,americana
sorbus spp,,sorbus,spp
salix amygdaloides,peachleaf willow,salix,amygdaloides
pyrus calleryana,callery autumn blaze pear,pyrus,calleryana
acer pseudoplatanus,sycamore maple,acer,pseudoplatanus
betula occidentalis,water birch,betula,occidentalis
cercis canadensis,eastern covey redbud,cercis,canadensis
pinus thunbergii,japanese black pine,pinus,thunbergii
ulmus glabra,wych camperdown elm,ulmus,glabra
quercus coccinea,scarlet oak,quercus,coccinea
catalpa spp,,catalpa,spp
taxodium distichum,baldcypress,taxodium,distichum
quercus lyrata,overcup oak,quercus,lyrata
quercus muehlenbergii,chinkapin oak,quercus,muehlenbergii
salix babylonica,weeping willow,salix,babylonica
juniperus virginiana,eastern redcedar,juniperus,virginiana
ulmus davidiana,david choice city elm,ulmus,davidiana
acer glabrum,rocky mountain maple,acer,glabrum
pinus heldreichii,bosnian pine,pinus,heldreichii
prunus serrulata,kwanzan cherry,prunus,serrulata
sequoiadendron giganteum,giant sequoia,sequoiadendron,giganteum
crataegus mollis,downy hawthorn,crataegus,mollis
salix nigra,black willow,salix,nigra
catalpa bignonioides,southern catalpa,catalpa,bignonioides
morus rubra,red mulberry,morus,rubra
rhamnus cathartica,european buckthorn,rhamnus,cathartica
picea engelmannii,engelmann spruce,picea,engelmannii
aesculus flava,yellow buckeye,aesculus,flava
aesculus x carnea,red horsechestnut,aesculus,carnea
malus x royal raindrops,royal raindrops crabapple,malus,royal
platanus occidentalis,american sycamore,platanus,occidentalis
prunus virginiana,canada red chokecherry,prunus,virginiana
larix decidua,european larch,larix,decidua
quercus montana,chestnut oak,quercus,montana
prunus serotina,black cherry,prunus,serotina
cladrastis kentukea,yellowwood,cladrastis,kentukea
acer campestre,hedge maple,acer,campestre
pinus strobiformis,eastern white pine,pinus,strobiformis
calocedrus decurrens,incense cedar,calocedrus,decurrens
magnolia x soulangeana,saucer magnolia,magnolia,soulangeana
malus pumila,wild apple,malus,pumila
liquidambar styraciflua,sweetgum,liquidambar,styraciflua
acer campestre,hedge queen elizabeth maple,acer,campestre
prunus armeniaca,apricot,prunus,armeniaca
acer saccharum,sugar fall fiesta maple,acer,saccharum
caragana arborescens,siberian pendula peashrub,caragana,arborescens
acer saccharum,sugar flashfire maple,acer,saccharum
abies lasiocarpa,subalpine fir,abies,lasiocarpa
morus spp,,morus,spp
acer x freemanii,freeman autumn blaze maple,acer,freemanii
acer saccharum,sugar wright brothers maple,acer,saccharum
carpinus caroliniana,american hornbeam,carpinus,caroliniana
malus tschonoskii,chonosuki crabapple,malus,tschonoskii
acer saccharum,sugar caddo maple,acer,saccharum
ulmus davidiana,david elm,ulmus,davidiana
rhamnus spp,,rhamnus,spp
gleditsia triacanthos,thornless shademaster honeylocust,gleditsia,triacanthos
crataegus laevigata,smooth hawthorn,crataegus,laevigata
prunus persica,peach,prunus,persica
malus x prairifire,prairifire crabapple,malus,prairifire
alnus rubra,red alder,alnus,rubra
fraxinus nigra,black ash,fraxinus,nigra
cotinus coggygria,european smoketree,cotinus,coggygria
gymnocladus dioicus,kentucky decaf coffeetree,gymnocladus,dioicus
euonymus spp,,euonymus,spp
cornus mas,cornelian cherry dogwood,cornus,mas
ulmus davidiana,emerald sunshine elm,ulmus,davidiana
malus transitoria,golden raindrops crabapple,malus,transitoria
platycladus orientalis,oriental arborvitae,platycladus,orientalis
ptelea trifoliata,common hoptree,ptelea,trifoliata
prunus sargentii,sargent cherry,prunus,sargentii
celtis spp,,celtis,spp
juniperus monosperma,one seed juniper,juniperus,monosperma
fraxinus quadrangulata,blue ash,fraxinus,quadrangulata
chamaecyparis spp,,chamaecyparis,spp
betula nigra,river birch,betula,nigra
fagus sylvatica,european weeping beech,fagus,sylvatica
acer griseum,paperbark maple,acer,griseum
betula papyrifera,paper birch,betula,papyrifera
morus alba,white pendula mulberry,morus,alba
acer saccharum,black maple,acer,saccharum
amelanchier x grandiflora,robin hill serviceberry,amelanchier,grandiflora
prunus avium,sweet cherry,prunus,avium
magnolia liliflora,ann magnolia,magnolia,liliflora
taxus baccata,yew,taxus,baccata
acer saccharum,sugar john pair maple,acer,saccharum
not applicable,green ash,not,applicable
acer negundo,variegated boxelder,acer,negundo
malus x radiant,radiant crabapple,malus,radiant
laburnum x watereri,golden chain tree,laburnum,watereri
acer palmatum,japanese maple,acer,palmatum
ostrya viginiana,american hophornbeam,ostrya,viginiana
syringa pekinensis,peking tree lilac,syringa,pekinensis
picea pungens,blue baker,picea,pungens
aesculus x carnea,ruby red horsechestnut,aesculus,carnea
prunus pumila,sand cherry,prunus,pumila
carpinus betulus,european emerald avenue hornbeam,carpinus,betulus
syringa spp,,syringa,spp
aesculus x arnoldiana,ohio autumn splendor buckeye,aesculus,arnoldiana
acer platanoides,norway crimson king maple,acer,platanoides
magnolia stellata,star magnolia,magnolia,stellata
acer rubrum,swamp white oak,acer,rubrum
fraxinus pennsylvanica,bur oak,fraxinus,pennsylvanica
fraxinus mandshurica,manchurian ash,fraxinus,mandshurica
salix matsudana,corkscrew willow,salix,matsudana
cornus florida,flowering dogwood,cornus,florida
tilia americana,american redmond linden,tilia,americana
acer tataricum,goldenrain tree,acer,tataricum
acer tataricum,tatarian pattern perfect maple,acer,tataricum
eucommia ulmoides,hardy rubber tree,eucommia,ulmoides
alnus spp,,alnus,spp
picea glauca,white dwarf alberta spruce,picea,glauca
prunus domestica,european plum,prunus,domestica
picea pungens,blue weeping spruce,picea,pungens
gleditsia triacanthos,thornless skyline honeylocust,gleditsia,triacanthos
abies spp,,abies,spp
crataegus monogyna,oneseed hawthorn,crataegus,monogyna
prosopis spp,,prosopis,spp
populus tremula,swedish columnar aspen,populus,tremula
fraxinus excelsior,european hessei ash,fraxinus,excelsior
quercus acutissima,sawtooth oak,quercus,acutissima
acer ginnala,amur flame maple,acer,ginnala
juniperus chinensis,chinese juniper,juniperus,chinensis
malus x perfect purple,perfect purple crabapple,malus,perfect
cercis canadensis,eastern summer,cercis,canadensis
ulmus morton glossy,triumph elm,ulmus,morton
gleditsia triacanthos,thornless imperial honeylocust,gleditsia,triacanthos
ulmus x hybrida,hybrid frontier elm,ulmus,hybrida
tilia americana,american sentry linden,tilia,americana
ulmus parvifolia,lacebark allee elm,ulmus,parvifolia
platanus x acerifolia,london exclamation planetree,platanus,acerifolia
acer campestre,japanese zelkova,acer,campestre
styphnolobium japonicum,japanese regent pagoda tree,styphnolobium,japonicum
tilia tomentosa,silver sterling linden,tilia,tomentosa
prunus nigra,canada princess kay plum,prunus,nigra
gleditsia triacanthos,thornless sunburst honeylocust,gleditsia,triacanthos
tilia cordata,littleleaf corinthian linden,tilia,cordata
acer platanoides,norway cavalier maple,acer,platanoides
acer rubrum,red northwood maple,acer,rubrum
populus fremontii,fremont cottonwood,populus,fremontii
acer grandidentatum,bigtooth highland park maple,acer,grandidentatum
fagus grandifolia,american beech,fagus,grandifolia
castanea dentata,american chestnut,castanea,dentata
malus x louisa,louisa crabapple,malus,louisa
carya laciniosa,shellbark hickory,carya,laciniosa
magnolia acuminata,cucumbertree magnolia,magnolia,acuminata
pinus bungeana,lacebark pine,pinus,bungeana
prunus avium,sweet queen ann cherry,prunus,avium
fagus sylvatica,european purple beech,fagus,sylvatica
catalpa bignonioides,umbrella nana catalpa,catalpa,bignonioides
ulmus procera,english elm,ulmus,procera
carya ovata,shagbark hickory,carya,ovata
acer platanoides,norway schwedler maple,acer,platanoides
quercus undulata,wavyleaf oak,quercus,undulata
carya illinoinensis,pecan,carya,illinoinensis
pinus contorta,lodgepole taylor,pinus,contorta
picea omorika,serbian spruce,picea,omorika
picea abies,norway weeping spruce,picea,abies
viburnum spp,,viburnum,spp
juniperus chinensis,chinese spartan juniper,juniperus,chinensis
pistacia chinensis,chinese pistache,pistacia,chinensis
betula pendula,european white birch,betula,pendula
pinus monticola,western white pine,pinus,monticola
thuja plicata,western green giant redcedar,thuja,plicata
acer platanoides,norway crimson sentry maple,acer,platanoides
pyrus ussuriensis,ussurian pear,pyrus,ussuriensis
salix alba,white willow,salix,alba
hesperocyparis arizonica,arizona cypress,hesperocyparis,arizonica
cladrastis kentukea,american yellowwood,cladrastis,kentukea
liquidambar styraciflua,happidaze sweetgum,liquidambar,styraciflua
gymnocladus dioicus,kentucky stately manor coffeetree,gymnocladus,dioicus
prunus cerasifera,flowering newport plum,prunus,cerasifera
acer platanoides,norway emerald queen maple,acer,platanoides
quercus bicolor,spring snow crabapple,quercus,bicolor
cercidiphyllum japonicum,katsura tree,cercidiphyllum,japonicum
quercus macrocarpa,bur urban pinnacle oak,quercus,macrocarpa
alnus incana,grey alder,alnus,incana
quercus x mazei,colorado foothills oak,quercus,mazei
fraxinus velutina,velvet modesto ash,fraxinus,velutina
robinia neomexicana,new mexico locust,robinia,neomexicana
quercus ellipsoidalis,northern pin oak,quercus,ellipsoidalis
malus x adams,adams crabapple,malus,adams
pyrus calleryana,callery redspire pear,pyrus,calleryana
acer platanoides,norway emerald lustre maple,acer,platanoides
picea pungens,blue hoops,picea,pungens
carpinus betulus,european weeping hornbeam,carpinus,betulus
crataegus viridis,green winter king hawthorn,crataegus,viridis
prunus maackii,manchurian cherry,prunus,maackii
tilia cordata,littleleaf greenspire linden,tilia,cordata
prunus cerasus,sour north star cherry,prunus,cerasus
cedrus libani,lebanon cedar,cedrus,libani
quercus buckleyi,texas red oak,quercus,buckleyi
not applicable,thornless honeylocust,not,applicable
pinus sylvestris,scotch glauca pine,pinus,sylvestris
prunus cerasus,montmorency cherry,prunus,cerasus
tsuga canadensis,eastern hemlock,tsuga,canadensis
ostrya viginiana,sensation boxelder,ostrya,viginiana
acer tataricum,american hophornbeam,acer,tataricum
quercus macrocarpa,bur cobblestone oak,quercus,macrocarpa
,standing butt,NA,NA
,deborah schwedler maple,NA,NA
,species cherry,NA,NA
,stump obstructed,NA,NA
,ailanthus,NA,NA
,bloodgood london planetree,NA,NA
,japanese pagodatree ,NA,NA
,greenspire linden,NA,NA
,sycamore ,NA,NA
,species oak,NA,NA
,christine buisman elm,NA,NA
,serviceberry species,NA,NA
,ft mcnair horsechestnut,NA,NA
,species pear,NA,NA
,autumn cherry,NA,NA
,pioneer hybrid elm,NA,NA
,species mountainash,NA,NA
,species elm,NA,NA
,species hawthorn,NA,NA
,slippery ,NA,NA
,laevis serviceberry,NA,NA
,espresso kentucky coffee tree,NA,NA
,schubert cherry,NA,NA
,species spruce,NA,NA
,frontier hybrid elm,NA,NA
,yellowood,NA,NA
,princess diana serviceberry,NA,NA
,oakleaf mountainash,NA,NA
,arnold pink silverbell,NA,NA
,species dogwood,NA,NA
,prariefire crabapple,NA,NA
,purple leaf beech,NA,NA
,harvest gold crabapple,NA,NA
,skyrocket english oak,NA,NA
,canada red cherry,NA,NA
,cleveland pride pear,NA,NA
,olmsted maple,NA,NA
,dananda charm elm,NA,NA
,bauman horsechestnut,NA,NA
,american ,NA,NA
,species willow,NA,NA
,ruby red slippers maple,NA,NA
,species magnolia,NA,NA
,emerald queen maple,NA,NA
,species linden,NA,NA
,species maple,NA,NA
,cortland apple,NA,NA
,persimmion,NA,NA
,purple prince crabapple,NA,NA
,chinese privet,NA,NA
,red baron crabapple,NA,NA
,species birch,NA,NA
,constellation dogwood,NA,NA
,orient pear,NA,NA
,species hickory,NA,NA
,commendation elm,NA,NA
,sumac species,NA,NA
,vesuvius plum,NA,NA
,species pine,NA,NA
,sring flurry serviceberry,NA,NA
,butternut hickory,NA,NA
,species poplar,NA,NA
,bing cherry,NA,NA
,pink spire crabapple,NA,NA
,white fringetree,NA,NA
,species euonymus,NA,NA
,celestial dogwood,NA,NA
,sugar tyme crabapple,NA,NA
,coliseum maple,NA,NA
,asian white birch,NA,NA
,red splendor crabapple,NA,NA
,pink flair cherry,NA,NA
,wireless zelkova,NA,NA
,burbank plum,NA,NA
,cumulus serviceberry,NA,NA
,formosan sweetgum,NA,NA
,weeping arborvitae,NA,NA
,japanese white pine,NA,NA
,common witchhazel,NA,NA
,smoothleaf elm,NA,NA
,japanese false cypress,NA,NA
,species beech,NA,NA
,species chamyaecyparis,NA,NA
,wafer ash,NA,NA
,table top pine,NA,NA
,european euonymus,NA,NA
,himalayan birch,NA,NA
ulmus americana,brandon elm,ulmus,americana
prunus padus,mayday,prunus,padus
malus baccata,dolgo crabapple,malus,baccata
acer tataricum,hot wings maple,acer,tataricum
picea pungens,colorado blue spruce,picea,pungens
betula pendula,weeping birch,betula,pendula
malus,makamik crabapple,NA,NA
populus jackii,northwest poplar,populus,jackii
ulmus americana,patmore elm,ulmus,americana
fraxinus pennsylvanica,prairie spire ash,fraxinus,pennsylvanica
prunus virginiana,schubert chokecherry,prunus,virginiana
caragana arborescens,sutherland caragana,caragana,arborescens
cotoneaster,cotoneaster species,NA,NA
syringa,lilac species,NA,NA
lonicera,species honeysuckle,NA,NA
malus,crabapple species,NA,NA
cornus,dogwood species,NA,NA
picea pungens,colorado spruce,picea,pungens
populus,poplar species,NA,NA
spiraea,spirea species,NA,NA
cotoneaster lucidus,hedge cotoneaster,cotoneaster,lucidus
pinus,pine species,NA,NA
pinus sylvestris,scots pine,pinus,sylvestris
acer negundo,manitoba maple,acer,negundo
elaeagnus angustifolia,russian olive,elaeagnus,angustifolia
malus adstringens,thunderchild crabapple,malus,adstringens
populus tristis,tristis poplar,populus,tristis
crataegus,hawthorn species,NA,NA
populus x,byland green poplar,NA,NA
populus tremuloides,quaking/trembling aspen,populus,tremuloides
fraxinus pennsylvancia,"green, foothills ash",fraxinus,pennsylvancia
tilia flavescens,dropmore linden,tilia,flavescens
larix sibirica,siberian larch,larix,sibirica
malus,pink spires crabapple,NA,NA
pinus ponderosa,yellow / ponderosa pine,pinus,ponderosa
malus,rosthern crabapple,NA,NA
populus tremuloides,trembling multistem aspen,populus,tremuloides
malus adstringens,gladiator crabapple,malus,adstringens
malus,spring snow crabapple,NA,NA
juniperus,juniper species,NA,NA
populus x,ac sundancer poplar,NA,NA
populus balsamifera,balsam paskapoo poplar,populus,balsamifera
malus,jade bouquet crabapple,NA,NA
populus salicaceae,,populus,salicaceae
acer negundo,red sensation maple,acer,negundo
fraxinus americana,tuxedo white ash,fraxinus,americana
crataegus mordenensis,snowbrid hawthorn,crataegus,mordenensis
rhamnus cathartica,common buckthorn,rhamnus,cathartica
prunus pennsylvanica,mary liss pincherry,prunus,pennsylvanica
crataegus mordenensis,toba hawthorn,crataegus,mordenensis
prunus maackii,amur cherry,prunus,maackii
fraxinus nigra,northern gem ash,fraxinus,nigra
pyrus,pear species,NA,NA
tilia cordata,green spire linden,tilia,cordata
populus tremuloides,advance upright aspen,populus,tremuloides
pinus mugo,mugo uncinata pine,pinus,mugo
potentilla,potentilla species,NA,NA
celtis occidentalis,hackberry,celtis,occidentalis
fraxinus pennsylvancia,"green, patmore ash",fraxinus,pennsylvancia
prunus triloba,flowering plum,prunus,triloba
prunus nigra,princess kay plum,prunus,nigra
populus x,okanese poplar,NA,NA
malus,selkirk crabapple,NA,NA
fraxinus americana,northern white ash,fraxinus,americana
populus balsamifera,balsam poplar,populus,balsamifera
malus baccata,rudolph crabapple,malus,baccata
fraxinus americana,calypso white ash,fraxinus,americana
populus canescens,tower poplar,populus,canescens
prunus,cherry species,NA,NA
sorbus x,,NA,NA
malus,starlight crabapple,NA,NA
salix,willow species,NA,NA
gleditsia triacanthos,honey locust,gleditsia,triacanthos
larix laricina,american tamarack larch,larix,laricina
populus sargentii,sargents cottonwood poplar,populus,sargentii
caragana arborescens,common caragana,caragana,arborescens
prunus cistena,purple leaf sandcherry,prunus,cistena
betula pendula,european birch,betula,pendula
betula pendula,cutleaf weeping birch,betula,pendula
ribes alpinum,alpine currant,ribes,alpinum
populus hybrida prairie skyrise,prairie skyrise aspen,populus,hybrida
sambucus,elder species,NA,NA
prunus cerasus,evans cherry,prunus,cerasus
pyrus ussuriensis,golden pear,pyrus,ussuriensis
malus adstringens,royalty crabapple,malus,adstringens
malus,big river flowering crabapple,NA,NA
rosa,rose species,NA,NA
malus adstringens,strathmore crabapple,malus,adstringens
populus x,lance leaf cottonwood,NA,NA
populus x,assiniboine poplar,NA,NA
malus baccata,siberian col crabapple,malus,baccata
acer negundo,baron maple,acer,negundo
acer saccharum,fall fiesta sugar maple,acer,saccharum
acer rubrum,scarlet jewel red maple,acer,rubrum
malus,battlford crabapple,NA,NA
quercus ellipsoidalis,majestic skies northern pin oak,quercus,ellipsoidalis
prunus virginiana,common chokecherry,prunus,virginiana
picea pungens,baker,picea,pungens
picea,spruce species,NA,NA
elaeagnus commutata,wolf willow,elaeagnus,commutata
pinus uncinata,mountain pine,pinus,uncinata
juniperus sabina,blue danube juniper,juniperus,sabina
tilia cordata,little leaf linden,tilia,cordata
betula platyphylla jefpark,parkland pillar birch,betula,platyphylla
betula fontinalis,water birch,betula,fontinalis
juniperus communis,common juniper,juniperus,communis
juglans cinerea,butternut,juglans,cinerea
acer,maple species,NA,NA
betula papyrifera,paper clump birch,betula,papyrifera
prunus salicina,brookgold plum,prunus,salicina
pyrus calleryana,cleaveland select pear,pyrus,calleryana
prunus salicina,brookred plum,prunus,salicina
malus,collett apple,NA,NA
malus,flowering courageous crabapple,NA,NA
betula platyphylla,dakota pinnacle birch,betula,platyphylla
picea pungens,columnar colorado spruce,picea,pungens
pyrus,navigator pear,NA,NA
pinus sylvestris,columnar scotch pine,pinus,sylvestris
malus,fall red apple,NA,NA
pyrus usseriensis,early gold pear,pyrus,usseriensis
betula pendula,clump cutleaf weeping ,betula,pendula
fraxinus americana,nobility white ash,fraxinus,americana
pinus mugo,mugo rostrada pine,pinus,mugo
malus baccata,siberian crabapple,malus,baccata
malus,kelsey crabapple,NA,NA
malus,flowering radiant crabapple,NA,NA
malus,parkland apple,NA,NA
syringa reticulata,signature lilac,syringa,reticulata
populus deltoides / balsamifera ,memorial poplar,populus,deltoides
malus,purple spire crabapple,NA,NA
malus,norland apple,NA,NA
prunus maackii,ming cherry,prunus,maackii
picea pungens,hoopsii spruce,picea,pungens
prunus maackii,amur ,prunus,maackii
alnus hirsuta,manchurian alder,alnus,hirsuta
malus,emerald spire crabapple,NA,NA
populus alba,silver poplar,populus,alba
malus,goodland apple,NA,NA
prunus nigrella,muckle plum,prunus,nigrella
quercus jackiana,admiration hybrid oak,quercus,jackiana
malus,honey crisp apple,NA,NA
celtis occidentalis,prairie sentinel hackberry,celtis,occidentalis
malus,hardi mac apple,NA,NA
populus petrowskyana,russian poplar,populus,petrowskyana
quercus bimundorum,prairie stature oak,quercus,bimundorum
malus,hopa crabapple,NA,NA
prunus domestica,mount royal ,prunus,domestica
populus x,prairie sky poplar,NA,NA
acer tataricum,pattern perfect maple,acer,tataricum
malus,rescue apple,NA,NA
betula papyrifera,prairie dream birch,betula,papyrifera
acer platanoides,prairie splendor maple,acer,platanoides
betula pendula,royal frost birch,betula,pendula
malus,prairie sensation apple,NA,NA
betula papyrifera,renaissance reflection birch,betula,papyrifera
ginkgo biloba,princeton sentry ginkgo tree,ginkgo,biloba
populus grandidentata,saber aspen,populus,grandidentata
prunus tomentosa,nanking cherry,prunus,tomentosa
salix alba,golden willow,salix,alba
malus,snowcap crabapple,NA,NA
prunus virginiana,western chokecherry,prunus,virginiana
prunus padus,skinners red mayday,prunus,padus
pyrus usseriensis,ure pear,pyrus,usseriensis
ribes,gooseberry & currant,NA,NA
malus,september ruby apple,NA,NA
thuja occidentalis,cedar ,thuja,occidentalis
betula,birch species,NA,NA
juniperus scopulorum,rockey mountain juniper,juniperus,scopulorum
populus deltoides,cottonwood poplar,populus,deltoides
viburnum,viburnum species,NA,NA
juniperus horizontalis,creeping juniper,juniperus,horizontalis
berberis,barberry species,NA,NA
caragana pygmaea,pygmy caragana,caragana,pygmaea
salix purpurea,purple willow,salix,purpurea
pseudotsuga menziesii,douglas fir,pseudotsuga,menziesii
hippophae rhamnoides,seabuckthorn,hippophae,rhamnoides
sorbaria sorbifolia,false spirea,sorbaria,sorbifolia
malus pumila,apple,malus,pumila
forsythia,forsythia species,NA,NA
amelanchier alnifolia,saskatoon,amelanchier,alnifolia
prunus nigra,canada plum,prunus,nigra
prunus pennsylvanica,pin cherry,prunus,pennsylvanica
rubus,raspberry,NA,NA
aesculus hippocastanum,horsechestnut,aesculus,hippocastanum
hydrangea arborescens,arborescens hydrangea,hydrangea,arborescens
pinus banksiana,jack pine,pinus,banksiana
abies,fir species,NA,NA
philadelphus lewissii,mock orange,philadelphus,lewissii
viburnum trilobum,highbush cranberry,viburnum,trilobum
cornus sericea,yellow twig or red osier dogwood,cornus,sericea
alnus glutinosa,european alder,alnus,glutinosa
hydrangea paniculata grandiflora,pg hydrangea,hydrangea,paniculata
shepherdia argentea,silver buffaloberry,shepherdia,argentea
